"filename", "language", "C++", "JSON", "YAML", "Dart", "Markdown", "Swift", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\big-star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\camera.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\chevron-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\chrome.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\cirrus-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\compass.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\discover-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\eye-off.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\eye.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\eye_on.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\favorite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\folder-plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\heart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\help-circle-big.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\help-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\home-black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\maestro-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\mail (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\mail.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\map-pin (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\map-pin-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\map-pin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\mastercard-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\menu-chart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\menu-vertical.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\paypal-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\play.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\share-2 (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\share-2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\shield.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\shopping-cart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\small-close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\smartphone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\star (3).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\star_2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\star_full.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\trash-2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\upload.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\visa-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\zap-off.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\zap-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\zap.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\flutter_projects\main\youtube-flutter-clone\lib\config\routes\route_app.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 6, 30
"d:\flutter_projects\main\youtube-flutter-clone\lib\config\themes\app_theme.dart", "Dart", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 10, 150
"d:\flutter_projects\main\youtube-flutter-clone\lib\config\themes\theme_service.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\api_result.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\api_result.freezed.dart", "Dart", 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 18, 47, 355
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\error_model.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\error_model.g.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 5, 19
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\network_exceptions.dart", "Dart", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 24, 172
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\network_exceptions.freezed.dart", "Dart", 0, 0, 0, 3519, 0, 0, 0, 0, 0, 0, 66, 277, 3862
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\reformat\date_reformat.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\reformat\views_reformat.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\toast_show.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\my_app.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 7, 69
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\assets_manager.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 21, 112
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\color_manager.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 19, 96
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\font_manager.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 45
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\strings_manager.dart", "Dart", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 1, 42, 184
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\styles_manager.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 8, 59
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\values_manager.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 7, 72
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\app_lang.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\langs\ar.dart", "Dart", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 1, 136
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\langs\en.dart", "Dart", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 1, 2, 143
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\local_storage\local_storage.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\translations.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\use_case\use_case.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\utility\constants.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\utility\injector.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 9, 19, 80
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\widgets\multi_bloc_provider.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\widgets\sliver_app_bar.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\channel\channel_apis.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\channel\channel_apis.g.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 5, 9, 65
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\search\search_apis.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\search\search_apis.g.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 5, 9, 65
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\videos\videos_apis.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\videos\videos_apis.g.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 5, 10, 88
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_details.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 23, 110
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_details.g.dart", "Dart", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 4, 10, 85
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\comment_details\comment_details.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 12, 81
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\comment_details\comment_details.g.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 4, 7, 64
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\base_comment_snippet\author_channel_id.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\base_comment_snippet\author_channel_id.g.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 4, 13
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\base_comment_snippet\base_comment_snippet.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\page_info\page_info.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\page_info\page_info.g.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 4, 13
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\thumbnail_details\thumbnail_details.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\thumbnail_details\thumbnail_details.g.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 4, 15
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\reply_details\reply_details.dart", "Dart", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 17, 88
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\reply_details\reply_details.g.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 8, 62
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\video_details\video_details.dart", "Dart", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 25, 140
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\video_details\video_details.g.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 4, 10, 89
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\channel_details_repo_impl.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\videos_details_repo_impl.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\repositories\channel_details_repository.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\repositories\videos_details_repository.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\channel_details\channel_sub_details_use_case.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\videos_details\get_video_details_usecase.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\flutter_projects\main\youtube-flutter-clone\lib\domain\use_cases\videos_details\most_popular_videos_use_case.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\flutter_projects\main\youtube-flutter-clone\lib\main.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\circular_profile_image.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\custom_circle_progress.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\mini_player_video.dart", "Dart", 0, 0, 0, 354, 0, 0, 0, 0, 0, 0, 6, 30, 390
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\moved_thumbnail_video.dart", "Dart", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 7, 115
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\read_more.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 24
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\small_thumbnail_video.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\subscribe_button.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\videos_details\videos_details_cubit.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 14, 77
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\videos_details\videos_details_cubit.freezed.dart", "Dart", 0, 0, 0, 690, 0, 0, 0, 0, 0, 0, 27, 93, 810
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\cubit\videos_details\videos_details_state.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\layouts\base_layout.dart", "Dart", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 13, 116
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\channel_profile\profile_page.dart", "Dart", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 9, 94
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\channel_profile\tab_bar_views\about_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\channel_profile\tab_bar_views\channels_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\channel_profile\tab_bar_views\community_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\channel_profile\tab_bar_views\home_view.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\channel_profile\tab_bar_views\playlists_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
